layer,tag,mean_delta,max_delta,changed_ratio,collapse_ratio
up_blocks.1.attentions.1.transformer_blocks.0.ff.net.2,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.attentions.1.proj_out,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.attentions.2.proj_in,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.attentions.2.transformer_blocks.0.attn1.to_q,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.attentions.2.transformer_blocks.0.attn1.to_k,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.attentions.2.transformer_blocks.0.attn1.to_v,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.attentions.2.transformer_blocks.0.attn1.to_out.0,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_q,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_k,uce_fp,0.001894788583740592,0.0360870361328125,0.9831736087799072,0.4803761839866638
up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v,uce_fp,0.0013651291374117136,0.0263519287109375,0.9792541265487671,0.5704233646392822
up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_out.0,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.attentions.2.transformer_blocks.0.ff.net.0.proj,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.attentions.2.transformer_blocks.0.ff.net.2,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.attentions.2.proj_out,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.resnets.0.conv1,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.resnets.0.time_emb_proj,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.resnets.0.conv2,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.resnets.0.conv_shortcut,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.resnets.1.conv1,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.resnets.1.time_emb_proj,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.resnets.1.conv2,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.resnets.1.conv_shortcut,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.resnets.2.conv1,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.resnets.2.time_emb_proj,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.resnets.2.conv2,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.resnets.2.conv_shortcut,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.upsamplers.0.conv,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.attentions.0.proj_in,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.attentions.0.transformer_blocks.0.attn1.to_q,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.attentions.0.transformer_blocks.0.attn1.to_k,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.attentions.0.transformer_blocks.0.attn1.to_v,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.attentions.0.transformer_blocks.0.attn1.to_out.0,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_q,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_k,uce_fp,0.002273131161928177,0.03851318359375,0.9861592650413513,0.4277140200138092
up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,uce_fp,0.0019245825242251158,0.03490257263183594,0.9817891716957092,0.4724792540073395
up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_out.0,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.attentions.0.transformer_blocks.0.ff.net.0.proj,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.attentions.0.transformer_blocks.0.ff.net.2,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.attentions.0.proj_out,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.attentions.1.proj_in,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.attentions.1.transformer_blocks.0.attn1.to_q,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.attentions.1.transformer_blocks.0.attn1.to_k,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.attentions.1.transformer_blocks.0.attn1.to_v,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.attentions.1.transformer_blocks.0.attn1.to_out.0,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_q,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_k,uce_fp,0.0022426554933190346,0.0437469482421875,0.9856343865394592,0.4352254271507263
up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,uce_fp,0.001556228380650282,0.03311920166015625,0.9866963624954224,0.5367513298988342
up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_out.0,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.attentions.1.transformer_blocks.0.ff.net.0.proj,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.attentions.1.transformer_blocks.0.ff.net.2,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.attentions.1.proj_out,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.attentions.2.proj_in,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.attentions.2.transformer_blocks.0.attn1.to_q,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.attentions.2.transformer_blocks.0.attn1.to_k,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.attentions.2.transformer_blocks.0.attn1.to_v,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.attentions.2.transformer_blocks.0.attn1.to_out.0,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_q,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_k,uce_fp,0.0021339221857488155,0.0382232666015625,0.9834228754043579,0.45475465059280396
up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_v,uce_fp,0.0012652600416913629,0.0243988037109375,0.9819580316543579,0.598388671875
up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_out.0,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.attentions.2.transformer_blocks.0.ff.net.0.proj,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.attentions.2.transformer_blocks.0.ff.net.2,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.attentions.2.proj_out,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.resnets.0.conv1,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.resnets.0.time_emb_proj,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.resnets.0.conv2,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.resnets.0.conv_shortcut,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.resnets.1.conv1,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.resnets.1.time_emb_proj,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.resnets.1.conv2,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.resnets.1.conv_shortcut,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.resnets.2.conv1,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.resnets.2.time_emb_proj,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.resnets.2.conv2,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.resnets.2.conv_shortcut,uce_fp,0.0,0.0,0.0,1.0
up_blocks.2.upsamplers.0.conv,uce_fp,0.0,0.0,0.0,1.0
up_blocks.3.attentions.0.proj_in,uce_fp,0.0,0.0,0.0,1.0
up_blocks.3.attentions.0.transformer_blocks.0.attn1.to_q,uce_fp,0.0,0.0,0.0,1.0
up_blocks.3.attentions.0.transformer_blocks.0.attn1.to_k,uce_fp,0.0,0.0,0.0,1.0
up_blocks.3.attentions.0.transformer_blocks.0.attn1.to_v,uce_fp,0.0,0.0,0.0,1.0
up_blocks.3.attentions.0.transformer_blocks.0.attn1.to_out.0,uce_fp,0.0,0.0,0.0,1.0
up_blocks.3.attentions.0.transformer_blocks.0.attn2.to_q,uce_fp,0.0,0.0,0.0,1.0
up_blocks.3.attentions.0.transformer_blocks.0.attn2.to_k,uce_fp,0.0018287923885509372,0.0385589599609375,0.9858846068382263,0.4979451596736908
up_blocks.3.attentions.0.transformer_blocks.0.attn2.to_v,uce_fp,0.00042754795867949724,0.008575439453125,0.976635754108429,0.8870767951011658
up_blocks.3.attentions.0.transformer_blocks.0.attn2.to_out.0,uce_fp,0.0,0.0,0.0,1.0
up_blocks.3.attentions.0.transformer_blocks.0.ff.net.0.proj,uce_fp,0.0,0.0,0.0,1.0
up_blocks.3.attentions.0.transformer_blocks.0.ff.net.2,uce_fp,0.0,0.0,0.0,1.0
up_blocks.3.attentions.0.proj_out,uce_fp,0.0,0.0,0.0,1.0
up_blocks.3.attentions.1.proj_in,uce_fp,0.0,0.0,0.0,1.0
up_blocks.3.attentions.1.transformer_blocks.0.attn1.to_q,uce_fp,0.0,0.0,0.0,1.0
up_blocks.3.attentions.1.transformer_blocks.0.attn1.to_k,uce_fp,0.0,0.0,0.0,1.0
up_blocks.3.attentions.1.transformer_blocks.0.attn1.to_v,uce_fp,0.0,0.0,0.0,1.0
up_blocks.3.attentions.1.transformer_blocks.0.attn1.to_out.0,uce_fp,0.0,0.0,0.0,1.0
up_blocks.3.attentions.1.transformer_blocks.0.attn2.to_q,uce_fp,0.0,0.0,0.0,1.0
up_blocks.3.attentions.1.transformer_blocks.0.attn2.to_k,uce_fp,0.0019319988787174225,0.037750244140625,0.9810383915901184,0.4781738221645355
up_blocks.3.attentions.1.transformer_blocks.0.attn2.to_v,uce_fp,0.0006373683572746813,0.016427993774414062,0.9827067255973816,0.80810546875
up_blocks.3.attentions.1.transformer_blocks.0.attn2.to_out.0,uce_fp,0.0,0.0,0.0,1.0
up_blocks.3.attentions.1.transformer_blocks.0.ff.net.0.proj,uce_fp,0.0,0.0,0.0,1.0
up_blocks.3.attentions.1.transformer_blocks.0.ff.net.2,uce_fp,0.0,0.0,0.0,1.0
up_blocks.3.attentions.1.proj_out,uce_fp,0.0,0.0,0.0,1.0
up_blocks.3.attentions.2.proj_in,uce_fp,0.0,0.0,0.0,1.0
up_blocks.3.attentions.2.transformer_blocks.0.attn1.to_q,uce_fp,0.0,0.0,0.0,1.0
up_blocks.3.attentions.2.transformer_blocks.0.attn1.to_k,uce_fp,0.0,0.0,0.0,1.0
up_blocks.3.attentions.2.transformer_blocks.0.attn1.to_v,uce_fp,0.0,0.0,0.0,1.0
up_blocks.3.attentions.2.transformer_blocks.0.attn1.to_out.0,uce_fp,0.0,0.0,0.0,1.0
up_blocks.3.attentions.2.transformer_blocks.0.attn2.to_q,uce_fp,0.0,0.0,0.0,1.0
up_blocks.3.attentions.2.transformer_blocks.0.attn2.to_k,uce_fp,0.0015552230179309845,0.027618408203125,0.9831380248069763,0.5458414554595947
up_blocks.3.attentions.2.transformer_blocks.0.attn2.to_v,uce_fp,0.0005887073930352926,0.0133056640625,0.9792846441268921,0.8250935673713684
up_blocks.3.attentions.2.transformer_blocks.0.attn2.to_out.0,uce_fp,0.0,0.0,0.0,1.0
up_blocks.3.attentions.2.transformer_blocks.0.ff.net.0.proj,uce_fp,0.0,0.0,0.0,1.0
up_blocks.3.attentions.2.transformer_blocks.0.ff.net.2,uce_fp,0.0,0.0,0.0,1.0
up_blocks.3.attentions.2.proj_out,uce_fp,0.0,0.0,0.0,1.0
up_blocks.3.resnets.0.conv1,uce_fp,0.0,0.0,0.0,1.0
up_blocks.3.resnets.0.time_emb_proj,uce_fp,0.0,0.0,0.0,1.0
up_blocks.3.resnets.0.conv2,uce_fp,0.0,0.0,0.0,1.0
up_blocks.3.resnets.0.conv_shortcut,uce_fp,0.0,0.0,0.0,1.0
up_blocks.3.resnets.1.conv1,uce_fp,0.0,0.0,0.0,1.0
up_blocks.3.resnets.1.time_emb_proj,uce_fp,0.0,0.0,0.0,1.0
up_blocks.3.resnets.1.conv2,uce_fp,0.0,0.0,0.0,1.0
up_blocks.3.resnets.1.conv_shortcut,uce_fp,0.0,0.0,0.0,1.0
up_blocks.3.resnets.2.conv1,uce_fp,0.0,0.0,0.0,1.0
up_blocks.3.resnets.2.time_emb_proj,uce_fp,0.0,0.0,0.0,1.0
up_blocks.3.resnets.2.conv2,uce_fp,0.0,0.0,0.0,1.0
up_blocks.3.resnets.2.conv_shortcut,uce_fp,0.0,0.0,0.0,1.0
mid_block.attentions.0.proj_in,uce_fp,0.0,0.0,0.0,1.0
mid_block.attentions.0.transformer_blocks.0.attn1.to_q,uce_fp,0.0,0.0,0.0,1.0
mid_block.attentions.0.transformer_blocks.0.attn1.to_k,uce_fp,0.0,0.0,0.0,1.0
mid_block.attentions.0.transformer_blocks.0.attn1.to_v,uce_fp,0.0,0.0,0.0,1.0
mid_block.attentions.0.transformer_blocks.0.attn1.to_out.0,uce_fp,0.0,0.0,0.0,1.0
mid_block.attentions.0.transformer_blocks.0.attn2.to_q,uce_fp,0.0,0.0,0.0,1.0
mid_block.attentions.0.transformer_blocks.0.attn2.to_k,uce_fp,0.0015572167467325926,0.032566070556640625,0.9807210564613342,0.5434325933456421
mid_block.attentions.0.transformer_blocks.0.attn2.to_v,uce_fp,0.0012860833667218685,0.027191162109375,0.9801269769668579,0.5916402339935303
mid_block.attentions.0.transformer_blocks.0.attn2.to_out.0,uce_fp,0.0,0.0,0.0,1.0
mid_block.attentions.0.transformer_blocks.0.ff.net.0.proj,uce_fp,0.0,0.0,0.0,1.0
mid_block.attentions.0.transformer_blocks.0.ff.net.2,uce_fp,0.0,0.0,0.0,1.0
mid_block.attentions.0.proj_out,uce_fp,0.0,0.0,0.0,1.0
mid_block.resnets.0.conv1,uce_fp,0.0,0.0,0.0,1.0
mid_block.resnets.0.time_emb_proj,uce_fp,0.0,0.0,0.0,1.0
mid_block.resnets.0.conv2,uce_fp,0.0,0.0,0.0,1.0
mid_block.resnets.1.conv1,uce_fp,0.0,0.0,0.0,1.0
mid_block.resnets.1.time_emb_proj,uce_fp,0.0,0.0,0.0,1.0
mid_block.resnets.1.conv2,uce_fp,0.0,0.0,0.0,1.0
conv_out,uce_fp,0.0,0.0,0.0,1.0
