key,stage,block_id,family,attn_group,shape,numel,changed_count,changed_ratio,l1_delta,l2_delta_sq,l2_delta,linf_delta,mean_abs_delta,l1_share_global,l2_energy_share_global
up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_k.weight,up,up_blocks.1,attn2_to_k,cross_attention,"(1280, 768)",983040,964606,0.9812479654947917,1963.892578125,9.821786880493164,3.1339731216430664,0.03582763671875,0.0019977749325335026,0.06711062565039758,0.07834128623521068
up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_k.weight,up,up_blocks.1,attn2_to_k,cross_attention,"(1280, 768)",983040,965668,0.9823282877604167,1870.206298828125,9.074665069580078,3.012418508529663,0.030675888061523438,0.0019024722278118134,0.06390915481207203,0.07238203621752223
up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_k.weight,up,up_blocks.1,attn2_to_k,cross_attention,"(1280, 768)",983040,966521,0.9831960042317708,1862.6529541015625,9.015420913696289,3.0025689601898193,0.0360870361328125,0.001894788583740592,0.06365104003736438,0.07190948845912266
down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_k.weight,down,down_blocks.2,attn2_to_k,cross_attention,"(1280, 768)",983040,966855,0.9835357666015625,1777.80712890625,8.337227821350098,2.8874258995056152,0.045723915100097656,0.0018084789626300335,0.060751667395446254,0.06650003294795116
down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_k.weight,down,down_blocks.2,attn2_to_k,cross_attention,"(1280, 768)",983040,965867,0.9825307210286458,1676.3201904296875,7.320137023925781,2.7055752277374268,0.03765869140625,0.001705241040326655,0.057283630491407396,0.05838743569271362
mid_block.attentions.0.transformer_blocks.0.attn2.to_k.weight,mid,mid_block,attn2_to_k,cross_attention,"(1280, 768)",983040,964166,0.9808003743489583,1530.806396484375,6.2394208908081055,2.4978833198547363,0.032566070556640625,0.0015572167467325926,0.05231109693167652,0.04976734517825411
up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v.weight,up,up_blocks.1,attn2_to_v,cross_attention,"(1280, 768)",983040,960293,0.9768605550130208,1415.5869140625,5.176234245300293,2.2751338481903076,0.0335845947265625,0.0014400094514712691,0.04837378812030076,0.04128707470093351
up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v.weight,up,up_blocks.1,attn2_to_v,cross_attention,"(1280, 768)",983040,964564,0.9812052408854167,1352.083251953125,4.706789016723633,2.169513463973999,0.02533721923828125,0.0013754102401435375,0.046203725183701416,0.03754264983495317
up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v.weight,up,up_blocks.1,attn2_to_v,cross_attention,"(1280, 768)",983040,962757,0.9793670654296875,1341.9765625,4.542628288269043,2.1313443183898926,0.0263519287109375,0.0013651291374117136,0.04585835687791502,0.03623325850189709
mid_block.attentions.0.transformer_blocks.0.attn2.to_v.weight,mid,mid_block,attn2_to_v,cross_attention,"(1280, 768)",983040,963600,0.980224609375,1264.2713623046875,4.114404678344727,2.0283994674682617,0.027191162109375,0.0012860833667218685,0.04320299544955441,0.03281762865715018
up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_k.weight,up,up_blocks.2,attn2_to_k,cross_attention,"(640, 768)",491520,484723,0.9861714680989583,1117.2894287109375,6.328040599822998,2.515559673309326,0.03851318359375,0.002273131161928177,0.038180292256592946,0.05047420046583985
down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_k.weight,down,down_blocks.1,attn2_to_k,cross_attention,"(640, 768)",491520,485032,0.9868001302083333,1109.409912109375,6.310112476348877,2.511993646621704,0.0380859375,0.0022571003064513206,0.03791103145544545,0.05033120079889169
up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_k.weight,up,up_blocks.2,attn2_to_k,cross_attention,"(640, 768)",491520,484478,0.9856730143229167,1102.31005859375,6.318943977355957,2.5137510299682617,0.0437469482421875,0.0022426554933190346,0.037668413495192926,0.05040164329135264
up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_k.weight,up,up_blocks.2,attn2_to_k,cross_attention,"(640, 768)",491520,483392,0.9834635416666667,1048.865478515625,5.712724685668945,2.3901307582855225,0.0382232666015625,0.0021339221857488155,0.03584209201171846,0.04556627070292052
down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v.weight,down,down_blocks.2,attn2_to_v,cross_attention,"(1280, 768)",983040,964061,0.9806935628255208,1002.7312622070312,2.603508710861206,1.613539218902588,0.0182037353515625,0.001020030933432281,0.034265582097252334,0.020766304911230257
down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v.weight,down,down_blocks.2,attn2_to_v,cross_attention,"(1280, 768)",983040,961424,0.9780110677083333,967.8402709960938,2.416898250579834,1.5546376705169678,0.022159576416015625,0.0009845379972830415,0.03307327846730323,0.01927784831353901
up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v.weight,up,up_blocks.2,attn2_to_v,cross_attention,"(640, 768)",491520,482594,0.9818400065104167,945.9708251953125,4.514040470123291,2.124627113342285,0.03490257263183594,0.0019245825242251158,0.032325950325904004,0.03600523416463067
down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_k.weight,down,down_blocks.1,attn2_to_k,cross_attention,"(640, 768)",491520,484199,0.9851053873697917,900.1243286132812,4.247978210449219,2.0610623359680176,0.0406951904296875,0.00183130765799433,0.030759272441497287,0.03388304805988932
up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v.weight,up,up_blocks.2,attn2_to_v,cross_attention,"(640, 768)",491520,485012,0.9867594401041667,764.9173583984375,3.0556745529174805,1.7480487823486328,0.03311920166015625,0.001556228380650282,0.026138946225856743,0.024372904615472365
up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_v.weight,up,up_blocks.2,attn2_to_v,cross_attention,"(640, 768)",491520,482731,0.9821187337239583,621.900634765625,2.0180952548980713,1.4205968379974365,0.0243988037109375,0.0012652600416913629,0.02125174317393037,0.01609688541785503
down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_k.weight,down,down_blocks.0,attn2_to_k,cross_attention,"(320, 768)",245760,241167,0.98131103515625,552.53955078125,3.280078411102295,1.8110986948013306,0.0413818359375,0.0022482892964035273,0.018881518960126707,0.026162811798375873
up_blocks.3.attentions.1.transformer_blocks.0.attn2.to_k.weight,up,up_blocks.3,attn2_to_k,cross_attention,"(320, 768)",245760,241117,0.9811075846354167,474.80804443359375,2.338775634765625,1.5293055772781372,0.037750244140625,0.0019319988787174225,0.01622525859138518,0.018654720742007237
up_blocks.3.attentions.0.transformer_blocks.0.attn2.to_k.weight,up,up_blocks.3,attn2_to_k,cross_attention,"(320, 768)",245760,242302,0.9859293619791667,449.44403076171875,2.205644130706787,1.4851411581039429,0.0385589599609375,0.0018287923885509372,0.015358513207505826,0.017592827077106837
down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v.weight,down,down_blocks.1,attn2_to_v,cross_attention,"(640, 768)",491520,482550,0.98175048828125,392.732666015625,0.865213930606842,0.9301687479019165,0.0228729248046875,0.0007990166777744889,0.013420558345823973,0.0069011853970261374
down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_k.weight,down,down_blocks.0,attn2_to_k,cross_attention,"(320, 768)",245760,241065,0.98089599609375,387.29461669921875,1.5634105205535889,1.2503641843795776,0.027706146240234375,0.001575905829668045,0.01323472797200069,0.01247019433267102
up_blocks.3.attentions.2.transformer_blocks.0.attn2.to_k.weight,up,up_blocks.3,attn2_to_k,cross_attention,"(320, 768)",245760,241625,0.9831746419270834,382.21160888671875,1.5744297504425049,1.2547627687454224,0.027618408203125,0.0015552230179309845,0.013061030164756866,0.012558086755233523
down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v.weight,down,down_blocks.1,attn2_to_v,cross_attention,"(640, 768)",491520,480939,0.978472900390625,307.150390625,0.5907277464866638,0.768588125705719,0.02693939208984375,0.0006248990539461374,0.010496019544657476,0.004711807743100714
down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v.weight,down,down_blocks.0,attn2_to_v,cross_attention,"(320, 768)",245760,240518,0.9786702473958333,159.2809295654297,0.2782670557498932,0.5275102257728577,0.012603759765625,0.000648115761578083,0.0054429875423830446,0.002219534930820767
up_blocks.3.attentions.1.transformer_blocks.0.attn2.to_v.weight,up,up_blocks.3,attn2_to_v,cross_attention,"(320, 768)",245760,241636,0.9832194010416667,156.6396484375,0.28546950221061707,0.5342934727668762,0.016427993774414062,0.0006373683572746813,0.005352729026724727,0.0022769836340596847
up_blocks.3.attentions.2.transformer_blocks.0.attn2.to_v.weight,up,up_blocks.3,attn2_to_v,cross_attention,"(320, 768)",245760,240862,0.9800699869791667,144.68072509765625,0.24868863821029663,0.49868690967559814,0.0133056640625,0.0005887073930352926,0.00494406572386307,0.001983609299054487
down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v.weight,down,down_blocks.0,attn2_to_v,cross_attention,"(320, 768)",245760,241709,0.9835164388020833,114.69209289550781,0.1357279270887375,0.36841270327568054,0.009837150573730469,0.0004666833265218884,0.003919286725305368,0.001082603452462276
up_blocks.3.attentions.0.transformer_blocks.0.attn2.to_v.weight,up,up_blocks.3,attn2_to_v,cross_attention,"(320, 768)",245760,240416,0.9782552083333333,105.07418823242188,0.13061955571174622,0.36141327023506165,0.008575439453125,0.00042754795867949724,0.003590621294937572,0.001041857670751674
up_blocks.2.attentions.0.transformer_blocks.0.attn1.to_k.weight,up,up_blocks.2,attn1_to_k,self_attention,"(640, 640)",409600,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.2.attentions.0.proj_out.weight,up,up_blocks.2,proj_out,non_attention,"(640, 640, 1, 1)",409600,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.2.attentions.0.proj_in.weight,up,up_blocks.2,proj_in,non_attention,"(640, 640, 1, 1)",409600,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.2.attentions.0.norm.weight,up,up_blocks.2,other,non_attention,"(640,)",640,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.1.upsamplers.0.conv.weight,up,up_blocks.1,upsampler,non_attention,"(1280, 1280, 3, 3)",14745600,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.2.attentions.1.transformer_blocks.0.ff.net.0.proj.weight,up,up_blocks.2,ff,non_attention,"(5120, 640)",3276800,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.2.attentions.0.transformer_blocks.0.attn1.to_out.0.weight,up,up_blocks.2,attn1_to_out,self_attention,"(640, 640)",409600,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.2.attentions.1.transformer_blocks.0.ff.net.2.weight,up,up_blocks.2,ff,non_attention,"(640, 2560)",1638400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.2.attentions.1.transformer_blocks.0.norm1.weight,up,up_blocks.2,other,non_attention,"(640,)",640,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.1.resnets.2.norm2.weight,up,up_blocks.1,other,non_attention,"(1280,)",1280,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.1.resnets.2.norm1.weight,up,up_blocks.1,other,non_attention,"(1920,)",1920,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.2.attentions.1.transformer_blocks.0.norm3.weight,up,up_blocks.2,other,non_attention,"(640,)",640,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.1.resnets.2.conv_shortcut.weight,up,up_blocks.1,conv_shortcut,non_attention,"(1280, 1920, 1, 1)",2457600,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.1.resnets.2.conv2.weight,up,up_blocks.1,resnet_conv2,non_attention,"(1280, 1280, 3, 3)",14745600,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.1.resnets.2.time_emb_proj.weight,up,up_blocks.1,time_emb_proj,non_attention,"(1280, 1280)",1638400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.2.attentions.1.transformer_blocks.0.attn1.to_k.weight,up,up_blocks.2,attn1_to_k,self_attention,"(640, 640)",409600,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.2.attentions.1.proj_out.weight,up,up_blocks.2,proj_out,non_attention,"(640, 640, 1, 1)",409600,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.2.attentions.1.transformer_blocks.0.attn1.to_out.0.weight,up,up_blocks.2,attn1_to_out,self_attention,"(640, 640)",409600,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.2.attentions.1.proj_in.weight,up,up_blocks.2,proj_in,non_attention,"(640, 640, 1, 1)",409600,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.2.attentions.1.transformer_blocks.0.attn1.to_q.weight,up,up_blocks.2,attn1_to_q,self_attention,"(640, 640)",409600,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.2.attentions.1.norm.weight,up,up_blocks.2,other,non_attention,"(640,)",640,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.2.attentions.0.transformer_blocks.0.norm3.weight,up,up_blocks.2,other,non_attention,"(640,)",640,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.2.attentions.0.transformer_blocks.0.norm2.weight,up,up_blocks.2,other,non_attention,"(640,)",640,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.2.attentions.0.transformer_blocks.0.attn1.to_v.weight,up,up_blocks.2,attn1_to_v,self_attention,"(640, 640)",409600,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.2.attentions.1.transformer_blocks.0.attn1.to_v.weight,up,up_blocks.2,attn1_to_v,self_attention,"(640, 640)",409600,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.2.attentions.0.transformer_blocks.0.ff.net.2.weight,up,up_blocks.2,ff,non_attention,"(640, 2560)",1638400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.2.attentions.0.transformer_blocks.0.ff.net.0.proj.weight,up,up_blocks.2,ff,non_attention,"(5120, 640)",3276800,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_out.0.weight,up,up_blocks.2,attn2_to_out,cross_attention,"(640, 640)",409600,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_q.weight,up,up_blocks.2,attn2_to_q,cross_attention,"(640, 640)",409600,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_out.0.weight,up,up_blocks.2,attn2_to_out,cross_attention,"(640, 640)",409600,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_q.weight,up,up_blocks.2,attn2_to_q,cross_attention,"(640, 640)",409600,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.2.attentions.0.transformer_blocks.0.attn1.to_q.weight,up,up_blocks.2,attn1_to_q,self_attention,"(640, 640)",409600,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.2.attentions.0.transformer_blocks.0.norm1.weight,up,up_blocks.2,other,non_attention,"(640,)",640,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.1.attentions.2.transformer_blocks.0.attn1.to_k.weight,up,up_blocks.1,attn1_to_k,self_attention,"(1280, 1280)",1638400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.1.attentions.2.proj_out.weight,up,up_blocks.1,proj_out,non_attention,"(1280, 1280, 1, 1)",1638400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.1.attentions.2.proj_in.weight,up,up_blocks.1,proj_in,non_attention,"(1280, 1280, 1, 1)",1638400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.1.attentions.2.norm.weight,up,up_blocks.1,other,non_attention,"(1280,)",1280,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.1.attentions.1.transformer_blocks.0.norm3.weight,up,up_blocks.1,other,non_attention,"(1280,)",1280,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.1.attentions.1.transformer_blocks.0.norm2.weight,up,up_blocks.1,other,non_attention,"(1280,)",1280,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.1.attentions.1.transformer_blocks.0.norm1.weight,up,up_blocks.1,other,non_attention,"(1280,)",1280,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.1.attentions.1.transformer_blocks.0.ff.net.2.weight,up,up_blocks.1,ff,non_attention,"(1280, 5120)",6553600,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.1.attentions.1.transformer_blocks.0.ff.net.0.proj.weight,up,up_blocks.1,ff,non_attention,"(10240, 1280)",13107200,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_q.weight,up,up_blocks.1,attn2_to_q,cross_attention,"(1280, 1280)",1638400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.2.attentions.1.transformer_blocks.0.norm2.weight,up,up_blocks.2,other,non_attention,"(640,)",640,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.1.attentions.1.transformer_blocks.0.attn1.to_v.weight,up,up_blocks.1,attn1_to_v,self_attention,"(1280, 1280)",1638400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.1.attentions.1.transformer_blocks.0.attn1.to_q.weight,up,up_blocks.1,attn1_to_q,self_attention,"(1280, 1280)",1638400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.1.attentions.1.transformer_blocks.0.attn1.to_out.0.weight,up,up_blocks.1,attn1_to_out,self_attention,"(1280, 1280)",1638400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.1.attentions.1.transformer_blocks.0.attn1.to_k.weight,up,up_blocks.1,attn1_to_k,self_attention,"(1280, 1280)",1638400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.1.attentions.1.proj_out.weight,up,up_blocks.1,proj_out,non_attention,"(1280, 1280, 1, 1)",1638400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.1.attentions.1.proj_in.weight,up,up_blocks.1,proj_in,non_attention,"(1280, 1280, 1, 1)",1638400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.1.attentions.1.norm.weight,up,up_blocks.1,other,non_attention,"(1280,)",1280,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.1.attentions.0.transformer_blocks.0.norm3.weight,up,up_blocks.1,other,non_attention,"(1280,)",1280,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.1.attentions.0.transformer_blocks.0.norm2.weight,up,up_blocks.1,other,non_attention,"(1280,)",1280,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.1.attentions.0.transformer_blocks.0.norm1.weight,up,up_blocks.1,other,non_attention,"(1280,)",1280,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_out.0.weight,up,up_blocks.1,attn2_to_out,cross_attention,"(1280, 1280)",1638400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.1.resnets.2.conv1.weight,up,up_blocks.1,resnet_conv1,non_attention,"(1280, 1920, 3, 3)",22118400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.1.resnets.1.time_emb_proj.weight,up,up_blocks.1,time_emb_proj,non_attention,"(1280, 1280)",1638400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.1.resnets.1.norm2.weight,up,up_blocks.1,other,non_attention,"(1280,)",1280,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.1.resnets.1.norm1.weight,up,up_blocks.1,other,non_attention,"(2560,)",2560,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.1.resnets.1.conv_shortcut.weight,up,up_blocks.1,conv_shortcut,non_attention,"(1280, 2560, 1, 1)",3276800,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.1.resnets.1.conv2.weight,up,up_blocks.1,resnet_conv2,non_attention,"(1280, 1280, 3, 3)",14745600,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.1.resnets.1.conv1.weight,up,up_blocks.1,resnet_conv1,non_attention,"(1280, 2560, 3, 3)",29491200,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.1.resnets.0.time_emb_proj.weight,up,up_blocks.1,time_emb_proj,non_attention,"(1280, 1280)",1638400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.1.resnets.0.norm2.weight,up,up_blocks.1,other,non_attention,"(1280,)",1280,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.1.resnets.0.norm1.weight,up,up_blocks.1,other,non_attention,"(2560,)",2560,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.1.attentions.2.transformer_blocks.0.attn1.to_out.0.weight,up,up_blocks.1,attn1_to_out,self_attention,"(1280, 1280)",1638400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.1.resnets.0.conv2.weight,up,up_blocks.1,resnet_conv2,non_attention,"(1280, 1280, 3, 3)",14745600,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.1.resnets.0.conv1.weight,up,up_blocks.1,resnet_conv1,non_attention,"(1280, 2560, 3, 3)",29491200,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.1.attentions.2.transformer_blocks.0.norm3.weight,up,up_blocks.1,other,non_attention,"(1280,)",1280,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.1.attentions.2.transformer_blocks.0.norm2.weight,up,up_blocks.1,other,non_attention,"(1280,)",1280,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.1.attentions.2.transformer_blocks.0.norm1.weight,up,up_blocks.1,other,non_attention,"(1280,)",1280,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.1.attentions.2.transformer_blocks.0.ff.net.2.weight,up,up_blocks.1,ff,non_attention,"(1280, 5120)",6553600,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.1.attentions.2.transformer_blocks.0.ff.net.0.proj.weight,up,up_blocks.1,ff,non_attention,"(10240, 1280)",13107200,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_q.weight,up,up_blocks.1,attn2_to_q,cross_attention,"(1280, 1280)",1638400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_out.0.weight,up,up_blocks.1,attn2_to_out,cross_attention,"(1280, 1280)",1638400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
