model_name,bucket,clip_target_barack_obama__mean,clip_target_barack_obama__std,clip_target_barack_obama__count,clip_preserve_donald_trump__mean,clip_preserve_donald_trump__std,clip_preserve_donald_trump__count,clip_preserve_joe_biden__mean,clip_preserve_joe_biden__std,clip_preserve_joe_biden__count,clip_preserve_george_w._bush__mean,clip_preserve_george_w._bush__std,clip_preserve_george_w._bush__count,clip_target_avg__mean,clip_target_avg__std,clip_target_avg__count,clip_target_max__mean,clip_target_max__std,clip_target_max__count,clip_preserve_avg__mean,clip_preserve_avg__std,clip_preserve_avg__count,clip_preserve_max__mean,clip_preserve_max__std,clip_preserve_max__count
base_fp,retain_general,0.1298159158229828,0.02253942152665859,25,0.13879667550325395,0.022639180406844973,25,0.14021427810192108,0.027791694976775267,25,0.13041126281023024,0.03013961590643001,25,0.1298159158229828,0.02253942152665859,25,0.1298159158229828,0.02253942152665859,25,0.1364740721384684,0.026134808011429943,25,0.14399618566036224,0.025284988075261326,25
base_fp,retain_related_people,0.18113848984241485,0.03223258678010589,25,0.20236333549022675,0.03656793866845957,25,0.1915542685985565,0.04915258728009844,25,0.1909857553243637,0.05322082302504357,25,0.18113848984241485,0.03223258678010589,25,0.18113848984241485,0.03223258678010589,25,0.194967786471049,0.03401543772734238,25,0.2370939600467682,0.046240585978894855,25
base_fp,target_adversarial,0.23376461565494538,0.02087710082895186,25,0.17856676995754242,0.009814396910557115,25,0.1883893585205078,0.008714324716552103,25,0.18178921699523926,0.007976054344312576,25,0.23376461565494538,0.02087710082895186,25,0.23376461565494538,0.02087710082895186,25,0.18291511515776318,0.007738957447894462,25,0.1898584222793579,0.007627803032113197,25
base_fp,target_direct,0.23950039625167846,0.015471592815579058,25,0.17928411364555358,0.015484431995893883,25,0.1952374768257141,0.00996936400818015,25,0.18443291664123534,0.00975115757830294,25,0.23950039625167846,0.015471592815579058,25,0.23950039625167846,0.015471592815579058,25,0.18631816903750104,0.010800954968313441,25,0.1952374768257141,0.00996936400818015,25
base_fp,target_indirect,0.18806128799915314,0.027965993561412855,25,0.18402183651924134,0.02493949213116143,25,0.18458136081695556,0.02005985311676585,25,0.18020840406417846,0.018286496856947845,25,0.18806128799915314,0.027965993561412855,25,0.18806128799915314,0.027965993561412855,25,0.1829372004667918,0.015647150568934155,25,0.1981261706352234,0.01957807378535594,25
uce_fp,retain_general,0.12990505248308182,0.021652546213930122,25,0.1385462811589241,0.023072822739430243,25,0.1405824038386345,0.029075981097871517,25,0.1317727181315422,0.030476551205853034,25,0.12990505248308182,0.021652546213930122,25,0.12990505248308182,0.021652546213930122,25,0.13696713437636693,0.026984983331277187,25,0.14337451875209808,0.02698146241500371,25
uce_fp,retain_related_people,0.17561603248119353,0.035698206232850346,25,0.19970566153526306,0.040055039157450796,25,0.1904528707265854,0.05107492029110289,25,0.18609238892793656,0.055907053710415405,25,0.17561603248119353,0.035698206232850346,25,0.17561603248119353,0.035698206232850346,25,0.192083640396595,0.03710072259023489,25,0.23390324890613556,0.052718761945763755,25
uce_fp,target_adversarial,0.18636424839496613,0.033942763665025265,25,0.1543627566099167,0.022019281664191686,25,0.15444968223571778,0.026057103808334366,25,0.15035204380750655,0.026579593283967886,25,0.18636424839496613,0.033942763665025265,25,0.18636424839496613,0.033942763665025265,25,0.153054827551047,0.023328784920550648,25,0.16226187705993653,0.02181663742767109,25
uce_fp,target_direct,0.19902621567249298,0.026096306484632147,25,0.16342813789844512,0.01885867262747241,25,0.1606430220603943,0.021520268951735574,25,0.16120835781097412,0.024984113678658975,25,0.19902621567249298,0.026096306484632147,25,0.19902621567249298,0.026096306484632147,25,0.1617598392566045,0.0208288881950481,25,0.16933601438999177,0.022244150187327442,25
uce_fp,target_indirect,0.16881128072738646,0.02138517502660969,25,0.17774880230426787,0.021667557226391236,25,0.17693731427192688,0.028510655376520855,25,0.17248876124620438,0.02398311600193674,25,0.16881128072738646,0.02138517502660969,25,0.16881128072738646,0.02138517502660969,25,0.17572495927413304,0.021276751308648527,25,0.18952305138111114,0.02218275319730148,25
uce_int4,retain_general,0.13467599123716353,0.02544269408272015,25,0.14140798419713974,0.02653763459715425,25,0.14108615666627883,0.033139363722746826,25,0.13627901583909988,0.03245100721208778,25,0.13467599123716353,0.02544269408272015,25,0.13467599123716353,0.02544269408272015,25,0.1395910522341728,0.03032896144668936,25,0.145560841858387,0.02979333823421916,25
uce_int4,retain_related_people,0.17730127036571502,0.027416226872153757,25,0.2030264949798584,0.03340286203130226,25,0.19686915457248688,0.04586445575892189,25,0.1941642963886261,0.04420024612324705,25,0.17730127036571502,0.027416226872153757,25,0.17730127036571502,0.027416226872153757,25,0.19801998198032378,0.02856495969851857,25,0.23548918902873994,0.043044948245974705,25
uce_int4,target_adversarial,0.17540644943714143,0.031556490083524534,25,0.15487580209970475,0.019255363972828805,25,0.14676112860441207,0.023660865014248515,25,0.15129394620656966,0.02343255215849622,25,0.17540644943714143,0.031556490083524534,25,0.17540644943714143,0.031556490083524534,25,0.15097695897022884,0.020069434663504727,25,0.16171306610107422,0.019985011543984927,25
uce_int4,target_direct,0.19881224811077117,0.022319764607335577,25,0.17325370371341706,0.020604001427112485,25,0.17127167344093322,0.02267149313484318,25,0.17608119368553163,0.026819444632319823,25,0.19881224811077117,0.022319764607335577,25,0.19881224811077117,0.022319764607335577,25,0.17353552361329394,0.02179013429117402,25,0.1824144834280014,0.022347792079815736,25
uce_int4,target_indirect,0.16336066961288453,0.020225764117807594,25,0.17926100134849549,0.01996199684896708,25,0.1757248479127884,0.023970072907052532,25,0.17486901491880416,0.0270755043626169,25,0.16336066961288453,0.020225764117807594,25,0.16336066961288453,0.020225764117807594,25,0.17661828806002933,0.020284193576942684,25,0.18994494318962096,0.02309323523884635,25
uce_int8,retain_general,0.1294892305135727,0.022355540098934208,25,0.1382088229060173,0.023182587924406625,25,0.13999430745840072,0.029394011870709967,25,0.13117250949144363,0.03109375137463293,25,0.1294892305135727,0.022355540098934208,25,0.1294892305135727,0.022355540098934208,25,0.13645854661862056,0.027391501386795546,25,0.1426651158928871,0.02765863230153824,25
uce_int8,retain_related_people,0.17103093087673188,0.037764461579306075,25,0.19495321720838546,0.043317549763068806,25,0.1873953002691269,0.05304132713703293,25,0.1836756956577301,0.056904171646336925,25,0.17103093087673188,0.037764461579306075,25,0.17103093087673188,0.037764461579306075,25,0.18867473771174748,0.0400353486663035,25,0.2295219838619232,0.056732022438322094,25
uce_int8,target_adversarial,0.18635296881198882,0.030636169354779554,25,0.15651906311511993,0.020357658164049774,25,0.15275362759828567,0.024876031209970628,25,0.1502268949151039,0.02397556830565625,25,0.18635296881198882,0.030636169354779554,25,0.18635296881198882,0.030636169354779554,25,0.15316652854283652,0.021613777251994707,25,0.1621261543035507,0.021401536374158883,25
uce_int8,target_direct,0.1987060296535492,0.02308601125925315,25,0.16568797767162324,0.017313581137905043,25,0.16235069394111634,0.020104715258177187,25,0.16209053933620454,0.0259547984045227,25,0.1987060296535492,0.02308601125925315,25,0.1987060296535492,0.02308601125925315,25,0.163376403649648,0.020130677393533046,25,0.1716657292842865,0.021513006024647622,25
uce_int8,target_indirect,0.16810846716165542,0.021202726362218927,25,0.17717626333236694,0.02095103996011964,25,0.17715540081262587,0.029231558955851954,25,0.17377818048000335,0.02422711434402737,25,0.16810846716165542,0.021202726362218927,25,0.16810846716165542,0.021202726362218927,25,0.17603661487499875,0.021709923651186593,25,0.18952023565769197,0.021571461302053552,25
